Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Drug_8,Drug_9,Reward
4,7,6,8,4,4,1,7,7,8.285046e-06
4,7,6,8,4,4,1,7,2,8.106232e-06
4,8,4,8,7,6,2,2,2,7.510185e-06
4,8,4,1,7,6,5,3,4,6.854534e-06
4,8,4,1,7,6,5,4,5,7.808208e-06
8,4,6,4,2,8,8,4,5,7.510185e-06
8,4,8,4,1,2,7,2,7,6.198883e-06
