Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Drug_8,Drug_9,Drug_10,Reward
4,7,6,8,4,4,1,7,2,7,8.821487e-06
4,7,6,8,4,4,1,7,2,8,8.34465e-06
4,7,6,8,4,4,1,7,2,6,8.702278e-06
4,8,4,1,7,6,5,4,5,8,8.404255e-06
4,8,4,1,7,6,5,4,5,2,8.165836e-06
8,4,8,4,1,2,7,2,7,2,6.318092e-06
8,4,8,4,1,2,7,2,7,3,6.854534e-06
