Drug_1,Drug_2,Reward
4,2,7.152557e-07
4,7,1.311302e-06
4,1,7.152557e-07
4,8,5.364418e-07
4,3,3.576279e-07
6,1,1.192093e-07
6,4,4.172325e-07
6,5,2.384186e-07
7,4,1.788139e-07
7,5,1.788139e-07
1,2,5.960464e-08
1,7,5.960464e-08
1,5,3.576279e-07
5,2,2.384186e-07
2,8,1.192093e-07
2,4,4.172325e-07
8,2,5.960464e-08
8,1,2.384186e-07
8,8,5.960464e-08
8,4,1.192093e-07
