Drug,Reward
1,-9.86500214850139e-10
2,-4.34162241269576e-07
3,-1.30858448810223e-06
4,-8.82123870171725e-07
5,-5.76403600627273e-07
6,5.71979963392977e-09
7,-7.12519436785186e-08
8,7.18048607240007e-08
